CODCANDIDATO,serie,categoria,linguagens,matematica,ciencias_humanas,ciencias_natureza,concluiu_fundamental,concluiu_medio,concluiu_prova_unica
20359139,2.0,medio,False,False,False,False,False,False,False
20359142,2.0,medio,True,True,True,True,False,True,True
20359143,2.0,medio,False,False,False,False,False,False,False
20359144,2.0,medio,True,True,True,True,False,True,True
20359146,2.0,medio,True,True,True,True,False,True,True
20359149,2.0,medio,False,False,False,False,False,False,False
20359152,2.0,medio,False,False,False,False,False,False,False
20359155,2.0,medio,False,False,False,False,False,False,False
20359156,2.0,medio,False,False,False,False,False,False,False
20359159,2.0,medio,False,False,False,False,False,False,False
20359169,2.0,medio,False,False,False,False,False,False,False
20359173,2.0,medio,True,True,True,True,False,True,True
20359176,2.0,medio,False,False,False,False,False,False,False
20359177,2.0,medio,True,True,True,True,False,True,True
20359185,2.0,medio,False,False,False,False,False,False,False
20359187,2.0,medio,False,False,False,False,False,False,False
20359188,2.0,medio,False,False,False,False,False,False,False
20359193,2.0,medio,False,False,False,False,False,False,False
20359195,2.0,medio,False,False,False,False,False,False,False
20359196,2.0,medio,False,False,False,False,False,False,False
20359198,2.0,medio,True,True,True,True,False,True,True
20359201,2.0,medio,False,False,False,False,False,False,False
20359205,2.0,medio,False,False,False,False,False,False,False
20359209,2.0,medio,True,True,True,True,False,True,True
20359211,2.0,medio,False,False,False,False,False,False,False
20359212,2.0,medio,False,False,False,False,False,False,False
20359213,2.0,medio,False,False,False,False,False,False,False
20359215,2.0,medio,True,True,True,True,False,True,True
20359217,2.0,medio,False,False,False,False,False,False,False
20359225,2.0,medio,True,True,True,True,False,True,True
20359230,2.0,medio,False,False,False,False,False,False,False
20359231,2.0,medio,False,False,False,False,False,False,False
20359235,2.0,medio,False,False,False,False,False,False,False
20359237,2.0,medio,True,True,True,True,False,True,True
20359245,2.0,medio,False,False,False,False,False,False,False
20359250,2.0,medio,True,True,True,True,False,True,True
20359262,2.0,medio,True,True,True,True,False,True,True
20359266,2.0,medio,False,False,False,False,False,False,False
20359267,2.0,medio,False,False,False,False,False,False,False
20359271,2.0,medio,False,False,False,False,False,False,False
20359274,2.0,medio,False,False,False,False,False,False,False
20359275,2.0,medio,True,True,True,True,False,True,True
20359276,2.0,medio,True,True,True,True,False,True,True
20359279,2.0,medio,True,True,True,True,False,True,True
20359280,2.0,medio,True,True,True,True,False,True,True
20359282,2.0,medio,False,False,False,False,False,False,False
20359283,2.0,medio,True,True,True,True,False,True,True
20359291,2.0,medio,False,False,False,False,False,False,False
20359292,2.0,medio,False,False,False,False,False,False,False
20359293,2.0,medio,True,True,True,True,False,True,True
20359295,2.0,medio,False,False,False,False,False,False,False
20359296,2.0,medio,False,False,False,False,False,False,False
20359301,2.0,medio,True,True,True,True,False,True,True
20359303,2.0,medio,True,True,True,True,False,True,True
20359306,2.0,medio,False,False,False,False,False,False,False
20359310,2.0,medio,False,False,False,False,False,False,False
20359311,2.0,medio,False,False,False,False,False,False,False
20359313,2.0,medio,True,True,True,True,False,True,True
20359316,2.0,medio,False,False,False,False,False,False,False
20359318,2.0,medio,True,True,True,True,False,True,True
20359321,2.0,medio,True,True,True,True,False,True,True
20359322,2.0,medio,True,True,True,True,False,True,True
20359325,2.0,medio,True,True,True,True,False,True,True
20359327,2.0,medio,True,True,True,True,False,True,True
20359328,2.0,medio,True,True,True,True,False,True,True
20359329,2.0,medio,True,True,True,True,False,True,True
20359330,2.0,medio,True,True,True,True,False,True,True
20359334,2.0,medio,False,False,False,False,False,False,False
20359336,2.0,medio,True,True,True,True,False,True,True
20359339,2.0,medio,True,True,True,True,False,True,True
20359340,2.0,medio,False,False,False,False,False,False,False
20359342,2.0,medio,True,True,True,True,False,True,True
20359343,2.0,medio,False,False,False,False,False,False,False
20359349,2.0,medio,False,False,False,False,False,False,False
20359351,2.0,medio,True,True,True,True,False,True,True
20359354,2.0,medio,False,False,False,False,False,False,False
20359356,2.0,medio,False,False,False,False,False,False,False
20359359,2.0,medio,True,True,True,True,False,True,True
20359360,2.0,medio,True,True,True,True,False,True,True
20359369,2.0,medio,True,True,True,True,False,True,True
20359374,2.0,medio,False,False,False,False,False,False,False
20359375,2.0,medio,True,True,True,True,False,True,True
20359377,2.0,medio,False,False,False,False,False,False,False
20359385,2.0,medio,False,False,False,False,False,False,False
20359387,2.0,medio,True,True,True,True,False,True,True
20359394,2.0,medio,False,False,False,False,False,False,False
20359396,2.0,medio,False,False,False,False,False,False,False
20359399,2.0,medio,False,False,False,False,False,False,False
20359407,2.0,medio,True,True,True,True,False,True,True
20359409,2.0,medio,False,False,False,False,False,False,False
20359413,2.0,medio,False,False,False,False,False,False,False
20359415,2.0,medio,False,False,False,False,False,False,False
20359418,2.0,medio,True,True,True,True,False,True,True
20359420,2.0,medio,True,True,True,True,False,True,True
20359421,2.0,medio,False,False,False,False,False,False,False
20359424,2.0,medio,False,False,False,False,False,False,False
20359426,2.0,medio,False,False,False,False,False,False,False
20359438,2.0,medio,True,True,True,True,False,True,True
20359442,2.0,medio,True,True,True,True,False,True,True
20359445,2.0,medio,False,False,False,False,False,False,False
20359447,2.0,medio,False,False,False,False,False,False,False
20359457,2.0,medio,False,False,False,False,False,False,False
20359458,2.0,medio,False,False,False,False,False,False,False
20359460,2.0,medio,True,True,True,True,False,True,True
20359469,2.0,medio,True,True,True,True,False,True,True
20359472,2.0,medio,True,True,True,True,False,True,True
20359481,2.0,medio,False,False,False,False,False,False,False
20359482,2.0,medio,True,True,True,True,False,True,True
20359483,2.0,medio,True,True,True,True,False,True,True
20359486,2.0,medio,False,False,False,False,False,False,False
20359488,2.0,medio,False,False,False,False,False,False,False
20359490,2.0,medio,True,True,True,True,False,True,True
20359494,2.0,medio,False,False,False,False,False,False,False
20359497,2.0,medio,False,False,False,False,False,False,False
20359504,2.0,medio,True,True,True,True,False,True,True
20359505,2.0,medio,False,False,False,False,False,False,False
20359511,2.0,medio,False,False,False,False,False,False,False
20359512,2.0,medio,False,False,False,False,False,False,False
20359513,2.0,medio,False,False,False,False,False,False,False
20359515,2.0,medio,False,False,False,False,False,False,False
20359517,2.0,medio,False,False,False,False,False,False,False
20359519,2.0,medio,False,False,False,False,False,False,False
20359521,2.0,medio,True,True,True,True,False,True,True
20359525,2.0,medio,False,False,False,False,False,False,False
20359537,2.0,medio,True,True,True,True,False,True,True
20359538,2.0,medio,True,True,True,True,False,True,True
20359539,2.0,medio,True,False,False,False,False,False,False
20359540,2.0,medio,False,False,False,False,False,False,False
20359541,2.0,medio,True,True,True,True,False,True,True
20359543,2.0,medio,False,False,False,False,False,False,False
20359545,2.0,medio,False,False,False,False,False,False,False
20359556,2.0,medio,False,False,False,False,False,False,False
20359560,2.0,medio,False,False,False,False,False,False,False
20359562,2.0,medio,False,False,False,False,False,False,False
20359563,2.0,medio,False,False,False,False,False,False,False
20359564,2.0,medio,True,True,True,True,False,True,True
20359565,2.0,medio,False,False,False,False,False,False,False
20359568,2.0,medio,False,False,False,False,False,False,False
20359569,2.0,medio,True,True,True,True,False,True,True
20359574,2.0,medio,False,False,False,False,False,False,False
20359575,2.0,medio,True,True,True,True,False,True,True
20359577,2.0,medio,True,True,True,True,False,True,True
20359579,2.0,medio,False,False,False,False,False,False,False
20359581,2.0,medio,True,True,True,True,False,True,True
20359583,2.0,medio,True,True,True,True,False,True,True
20359585,2.0,medio,False,False,False,False,False,False,False
20359586,2.0,medio,False,False,False,False,False,False,False
20359590,2.0,medio,False,False,False,False,False,False,False
20359591,2.0,medio,True,True,True,True,False,True,True
20359598,2.0,medio,True,True,True,True,False,True,True
20359599,2.0,medio,True,True,True,False,False,False,False
20359602,2.0,medio,False,False,False,False,False,False,False
20359610,2.0,medio,True,True,True,True,False,True,True
20359618,2.0,medio,False,False,False,False,False,False,False
20359621,2.0,medio,True,True,True,True,False,True,True
20359625,2.0,medio,False,False,False,False,False,False,False
20359627,2.0,medio,False,False,False,False,False,False,False
20359632,2.0,medio,True,True,True,True,False,True,True
20359636,2.0,medio,True,True,True,True,False,True,True
20359638,2.0,medio,True,True,True,True,False,True,True
20359644,2.0,medio,False,False,False,False,False,False,False
20359645,2.0,medio,True,True,True,True,False,True,True
20359646,2.0,medio,False,False,False,False,False,False,False
20359647,2.0,medio,True,True,True,True,False,True,True
20359651,2.0,medio,True,True,False,False,False,False,False
20359653,2.0,medio,True,True,True,True,False,True,True
20359656,2.0,medio,True,True,False,False,False,False,False
20359657,2.0,medio,True,True,False,False,False,False,False
20359658,2.0,medio,False,False,False,False,False,False,False
20359659,2.0,medio,True,True,True,True,False,True,True
